BD,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
data_k14d24n12,0.8051199153478418,0.829111260430008,0.8057451749796561,0.8240219403663733,0.8073359321697348,0.7268170109249918,0.7317733308430204,0.8083802606273041
data_k14d24n13,0.8093243577873255,0.8313417821087427,0.8086255846612845,0.8370121443400137,0.8058586889137116,0.7162213349447819,0.7275163505711386,0.8061503336136185
data_k14d24n14,0.8102763503740993,0.8275048809962382,0.8003060738362253,0.8334798586634632,0.8018135228070502,0.7291191904192679,0.737075922589687,0.7562217658164172
data_k14d24n15,0.8163031565706961,0.8127126014741514,0.8012363483699076,0.8483497255143213,0.8111070099105048,0.7394638722357192,0.7498846616657563,0.8323331744395416
data_k16d22n11,0.8050231955196521,0.8256311969578134,0.7957188087973556,0.8156169698037686,0.7985781722114187,0.7237557892553186,0.7335887664382705,0.784215324363735
data_k16d22n12,0.8099764399202847,0.8382270625674829,0.7954691273354794,0.836395714668625,0.8068556172035898,0.7395530852942745,0.7286604631298069,0.7854590086500212
data_k16d22n13,0.810951403018257,0.8195514662787522,0.8038092008274171,0.811701050859865,0.8125177516616212,0.7334248045393463,0.7348209293665942,0.7197868348900454
data_k16d22n14,0.8069360297261208,0.8421109190774215,0.794516924269668,0.8416213952454026,0.803532351426481,0.7145594829915695,0.7217679313924901,0.7062448794539178
data_k16d22n15,0.8049577409049293,0.8365105133534371,0.8013369497160161,0.8238310526001307,0.7992510963001567,0.7055880200403832,0.7266023499041868,0.7860894532889755
data_k16d23n11,0.7947749294268167,0.827387554633521,0.7963888126128729,0.8313811316195101,0.8019286329687005,0.7261505755893806,0.7320734677755499,0.7846324810437721
data_k16d23n12,0.8002664199877966,0.8291857555537391,0.8068466280146585,0.8324574057780063,0.7929924302022318,0.7222367593760841,0.7195568723444458,0.7933999895745989
data_k16d23n13,0.8115097711648621,0.8369267786862468,0.8061561369114927,0.8388989663516583,0.8077538840086003,0.710934113873422,0.7403294089380456,0.7119450038002564
data_k16d23n14,0.8061080797189584,0.8375406133938922,0.8067565939298463,0.8335963840066828,0.8066388635429925,0.7295372958311367,0.7277894308201537,0.8092181287424174
data_k16d23n15,0.7985336109976081,0.836896899143364,0.7989372295145495,0.8297267292272668,0.8039130874640259,0.7072489901659458,0.7330289128349653,0.7620454299153876
data_k16d24n11,0.811923696393657,0.8435467988742072,0.8146578512436946,0.8375029792247624,0.8174428264749898,0.7257767464565754,0.7945890486395376,0.70509156010022
data_k16d24n12,0.7997975194596192,0.8331963428258009,0.7999896681084897,0.8226347215591323,0.8055010606287449,0.7348792394126716,0.7288471659562086,0.6809797710456958
data_k16d24n13,0.8167590875081114,0.8519802371553734,0.8006264377670302,0.8509458060168107,0.8018028500683183,0.7285865799364603,0.7942497224656735,0.6968080172885562
data_k16d24n14,0.8064897140403581,0.8431044969520617,0.8085264512720407,0.8375458104565918,0.8059670254540604,0.7270879188999831,0.7421304984210219,0.8170371453052795
data_k16d24n15,0.8104143725243904,0.8269385971742025,0.8053848994509879,0.826318893695474,0.8027036117213452,0.7227099985149961,0.7367244664502854,0.713387264437055
data_k16d24n16,0.7901994027422287,0.8215693530679891,0.7902960180222219,0.8000739328065141,0.7857940172313005,0.7293746241774451,0.7231069957268964,0.6830653413809376
data_k2d22n11,0.7655159076796247,0.8032562576729465,0.7984472727057649,0.8004011865931357,0.7636913055800132,0.7248328167231686,0.7359443047002607,0.7052754563022567
data_k2d22n12,0.767771695502697,0.7809741062785232,0.7819834731468313,0.7826810784454048,0.760795376113759,0.6720456558559106,0.733178141552913,0.7181254323746094
data_k2d22n13,0.7627346872806317,0.7888143914253156,0.78877729342487,0.7896642297876634,0.7599688020202612,0.7032311639238825,0.7302079041486642,0.7170560864007576
data_k2d22n14,0.7725921435103913,0.7988843074352621,0.7948877820295723,0.7982328418818007,0.7646622538226959,0.6582881783853447,0.7281485692409715,0.7078619795968852
data_k2d22n15,0.7597155288385239,0.7977599888889825,0.797286220893444,0.7990224825218423,0.7600338535243517,0.7235237357294682,0.7300010345221175,0.7069864278459068
data_k2d23n11,0.7681358937064074,0.7855507951071031,0.7862684612236812,0.7855913246712681,0.7650407616962929,0.7118827189430299,0.7354360313890596,0.7199861470604847
data_k2d23n12,0.7658966931805076,0.8004865952857962,0.7972073515194358,0.8010354125298665,0.7624503004061699,0.6648125795206352,0.7298275999073172,0.7022826450389685
data_k2d23n13,0.7698951547663155,0.7956285186452636,0.7929355312116223,0.7967661558080055,0.7651899467135793,0.7482751638509256,0.7352943804369569,0.7212195987978048
data_k2d23n14,0.7683131964983645,0.7921226320767951,0.7888565496818473,0.7925579817575732,0.7638451835138966,0.7281281405133728,0.7301689333197702,0.7165559909310555
data_k2d23n15,0.7663080023771964,0.7903807254414463,0.7880675194938421,0.7910886812255934,0.7646272914290728,0.6707953028054401,0.7303474959989961,0.7129070031339405
